>A
M
937.0;-454.0	412.0;-454.0
412.0;-454.0	320.0;-240.0
320.0;-240.0	302.65999999999997;-196.19999999999996
302.65999999999997;-196.19999999999996	291.44;-159.60000000000002
291.44;-159.60000000000002	286.34;-130.20000000000002
286.34;-130.20000000000002	286.0;-122.0
286.0;-122.0	288.655;-104.075
288.655;-104.075	296.62;-87.5
296.62;-87.5	309.895;-72.275
309.895;-72.275	315.5;-67.5
315.5;-67.5	339.365;-54.88499999999999
339.365;-54.88499999999999	375.56;-45.24
375.56;-45.24	424.085;-38.565000000000005
424.085;-38.565000000000005	443.0;-37.0
443.0;-37.0	443.0;-0.0
443.0;-0.0	16.0;-0.0
16.0;-0.0	16.0;-37.0
16.0;-37.0	61.599999999999994;-46.81
61.599999999999994;-46.81	96.4;-58.24
96.4;-58.24	120.39999999999999;-71.28999999999999
120.39999999999999;-71.28999999999999	126.0;-76.0
126.0;-76.0	157.58999999999997;-113.71
157.58999999999997;-113.71	191.16;-169.24
191.16;-169.24	226.70999999999998;-242.58999999999997
226.70999999999998;-242.58999999999997	239.0;-271.0
239.0;-271.0	716.0;-1387.0
716.0;-1387.0	751.0;-1387.0
751.0;-1387.0	1223.0;-259.0
1223.0;-259.0	1256.2549999999999;-185.995
1256.2549999999999;-185.995	1287.62;-130.18
1287.62;-130.18	1317.0949999999998;-91.555
1317.0949999999998;-91.555	1326.5;-82.5
1326.5;-82.5	1357.685;-61.394999999999996
1357.685;-61.394999999999996	1395.44;-46.68
1395.44;-46.68	1439.7649999999999;-38.355000000000004
1439.7649999999999;-38.355000000000004	1456.0;-37.0
1456.0;-37.0	1456.0;-0.0
1456.0;-0.0	921.0;-0.0
921.0;-0.0	921.0;-37.0
921.0;-37.0	964.8749999999999;-41.10999999999999
964.8749999999999;-41.10999999999999	999.3;-48.64
999.3;-48.64	1024.2749999999999;-59.589999999999996
1024.2749999999999;-59.589999999999996	1030.5;-64.0
1030.5;-64.0	1045.0349999999999;-78.69999999999999
1045.0349999999999;-78.69999999999999	1054.44;-95.19999999999999
1054.44;-95.19999999999999	1058.715;-113.49999999999999
1058.715;-113.49999999999999	1059.0;-120.0
1059.0;-120.0	1055.3999999999999;-150.98999999999998
1055.3999999999999;-150.98999999999998	1044.6;-191.16
1044.6;-191.16	1026.6000000000001;-240.51
1026.6000000000001;-240.51	1019.0;-259.0
1019.0;-259.0	937.0;-454.0
Z
M
909.0;-528.0	679.0;-1076.0
679.0;-1076.0	443.0;-528.0
443.0;-528.0	909.0;-528.0
909.0;-528.0	909.0;-528.0
Z
>N
M
-27.0;-1356.0	341.0;-1356.0
341.0;-1356.0	1170.0;-339.0
1170.0;-339.0	1170.0;-1121.0
1170.0;-1121.0	1167.4799999999998;-1187.54
1167.4799999999998;-1187.54	1159.92;-1237.1599999999999
1159.92;-1237.1599999999999	1147.32;-1269.8600000000001
1147.32;-1269.8600000000001	1142.0;-1277.0
1142.0;-1277.0	1115.9299999999998;-1298.42
1115.9299999999998;-1298.42	1082.12;-1312.28
1082.12;-1312.28	1040.57;-1318.5800000000002
1040.57;-1318.5800000000002	1025.0;-1319.0
1025.0;-1319.0	978.0;-1319.0
978.0;-1319.0	978.0;-1356.0
978.0;-1356.0	1450.0;-1356.0
1450.0;-1356.0	1450.0;-1319.0
1450.0;-1319.0	1402.0;-1319.0
1402.0;-1319.0	1354.8999999999999;-1314.32
1354.8999999999999;-1314.32	1316.8;-1300.2800000000002
1316.8;-1300.2800000000002	1287.6999999999998;-1276.8799999999999
